comunasubida|comunabajada|mediahora|viaje_laboral_promedio|viajes_adulto|viajes_estudiante|viajes_1_etapa|viajes_2_etapas|viajes_3_etapas|viajes_4_etapas|viajes_usan_metro
CERRILLOS|CERRILLOS|00:00:00|8,012722|2|0|4|0|0|0|0
CERRILLOS|CERRILLOS|00:30:00|4,572266|1|0|2|0|0|0|0
CERRILLOS|CERRILLOS|01:00:00|1,351912|0|0|0|0|0|0|0
CERRILLOS|CERRILLOS|02:00:00|0,467198|0|0|0|0|0|0|0
CERRILLOS|CERRILLOS|04:30:00|0,29124|0|0|0|0|0|0|0
CERRILLOS|CERRILLOS|05:00:00|6,103808|4|0|3|0|0|0|0
CERRILLOS|CERRILLOS|05:30:00|22,51023|15|0|12|4|0|0|0
CERRILLOS|CERRILLOS|06:00:00|72,1060080000001|42|0|39|12|0|0|0
CERRILLOS|CERRILLOS|06:30:00|119,2405|71|0|65|21|1|0|0
CERRILLOS|CERRILLOS|07:00:00|175,479802|98|0|104|21|3|0|0
CERRILLOS|CERRILLOS|07:30:00|208,090672|117|0|130|20|2|0|0
CERRILLOS|CERRILLOS|08:00:00|245,521915999999|134|0|152|24|2|0|0
CERRILLOS|CERRILLOS|08:30:00|210,82556|125|0|143|18|1|0|0
CERRILLOS|CERRILLOS|09:00:00|148,280474|98|0|101|13|0|0|0
CERRILLOS|CERRILLOS|09:30:00|131,611354|91|0|94|9|1|0|1
CERRILLOS|CERRILLOS|10:00:00|134,935304|90|0|95|11|1|0|0
CERRILLOS|CERRILLOS|10:30:00|137,3575|95|0|102|6|1|0|0
CERRILLOS|CERRILLOS|11:00:00|151,329016|99|0|107|12|1|0|0
CERRILLOS|CERRILLOS|11:30:00|135,814838|89|0|98|10|0|0|0
CERRILLOS|CERRILLOS|12:00:00|151,59585|101|0|109|11|1|0|0
CERRILLOS|CERRILLOS|12:30:00|149,02932|92|0|104|13|0|0|0
CERRILLOS|CERRILLOS|13:00:00|161,17808|99|0|111|14|1|0|0
CERRILLOS|CERRILLOS|13:30:00|169,131738|104|0|119|12|1|0|0
CERRILLOS|CERRILLOS|14:00:00|142,983196|81|0|101|7|0|0|0
CERRILLOS|CERRILLOS|14:30:00|133,088498|79|0|91|9|2|0|0
CERRILLOS|CERRILLOS|15:00:00|154,216914|93|0|102|14|2|0|0
CERRILLOS|CERRILLOS|15:30:00|134,33472|78|0|95|7|0|0|0
CERRILLOS|CERRILLOS|16:00:00|155,012384000001|90|0|104|13|1|0|0
CERRILLOS|CERRILLOS|16:30:00|179,427036000001|99|0|118|19|1|0|0
CERRILLOS|CERRILLOS|17:00:00|175,959288000001|98|0|117|15|2|0|0
CERRILLOS|CERRILLOS|17:30:00|211,79259|124|0|145|15|1|0|0
CERRILLOS|CERRILLOS|18:00:00|237,802152|135|0|159|21|1|0|0
CERRILLOS|CERRILLOS|18:30:00|233,975598|138|0|158|19|0|0|0
CERRILLOS|CERRILLOS|19:00:00|199,281258|113|0|135|16|1|0|0
CERRILLOS|CERRILLOS|19:30:00|177,150302|99|0|120|15|0|0|0
